Timestamp,Name,Department,Which digital learning tools do you use regularly?,Which device do you primarily use to access these tools?,"On average, how many hours per week do you spend using digital learning tools?",Do you feel that digital learning tools have helped improve your grades or academic performance?,In what ways have digital learning tools influenced your learning experience?,Which specific digital tools do you believe have contributed the most to your academic success?,Have you noticed any changes in your academic performance since you started using digital learning tools?,How engaged do you feel during online classes or while using digital learning tools compared to traditional classroom settings?,Do digital learning tools encourage you to participate more actively in your studies?,What challenges do you face when using digital learning tools?,What improvements or features would you like to see in the digital learning tools you use?,How do you track your study habits and performance when using digital tools?
2024-09-04 10:36:38,VARSHINI  S A,Cse - Cyber security ,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,More than 20 hours,Yes,"Enhanced understanding of subjects, Increased engagement, More efficient study habits","Coursera , simplilearn , Chatgpt , bard , blackbox ",Significant improvement,Less engaged,Yes,"Distractions, Overwhelming amount of tools",,I don’t track
2024-09-04 10:37:32,Greffina ,Cse,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera)",Laptop,4-6 hours,Yes,"Option ,Better time management",Learning management system (Moodle),Slight improvement,More Engaged,Yes,"Technical issues, Lack of interaction",,"Self-tracking, Instructor feedback"
2024-09-04 10:37:41,Sajetha,CSE CS ,Online Tutorials,Laptop,1-3 hours,Unsure,"Increased engagement, More efficient study habits",,Slight improvement,Equally engaged,Sometimes,"Technical issues, Overwhelming amount of tools",,Self-tracking
2024-09-04 10:38:28,MADHAN BABU P,aids,E-books,Laptop,4-6 hours,Yes,"Option ,Better time management",,Slight improvement,Equally engaged,Yes,Overwhelming amount of tools,,Through app usage statistics
2024-09-04 10:38:30,Visalan H,AIML,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Youtube,Slight improvement,More Engaged,Yes,None,,I don’t track
2024-09-04 10:39:06,ROBINSON J,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits","Youtube, NesoAcademy",,Equally engaged,Yes,None,Save Notes as PDF,"Through app usage statistics, I don’t track"
2024-09-04 10:39:22,SREEKUMAR S,Aiml,"Learning Management System (e.g., Moodle, Google Classroom)",Laptop,1-3 hours,Yes,Enhanced understanding of subjects,,Slight improvement,More Engaged,Yes,Technical issues,,Through app usage statistics
2024-09-04 10:39:39,Dinesh M,CSE,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,1-3 hours,Yes,None,"instagram,linkedin",Slight improvement,Equally engaged,Yes,Technical issues,None,Self-tracking
2024-09-04 10:39:51,LeoDass Dinesh,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,1-3 hours,Yes,More efficient study habits,"Instagram, Youtube, LinkedIn, ",Slight improvement,Equally engaged,Yes,"Lack of interaction, Distractions",Adding more interactive features and minimizing the distraction stuffs,"Through app usage statistics, Self-tracking"
2024-09-04 10:40:29,karthick v,cse,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,11-15 hours,Yes,Enhanced understanding of subjects,YouTube,Significant improvement,Equally engaged,Yes,Technical issues,ensuring all the learners are   listening ,"Through app usage statistics, I don’t track"
2024-09-04 10:40:39,Arjun.M,Computer science and Engineering ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,1-3 hours,Unsure,"Option ,Better time management",None ,No change,Less engaged,No,"Technical issues, Lack of interaction, Distractions, Overwhelming amount of tools, Difficulty in using tools",None,Self-tracking
2024-09-04 10:40:46,Abinav Sankar S ,Computer science engineering ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera)",Laptop,1-3 hours,No,None,None,No change,Less engaged,Sometimes,Technical issues,None,Self-tracking
2024-09-04 10:41:05,Sivabalan ,Aiml,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",,Slight improvement,Equally engaged,Sometimes,"Distractions, Overwhelming amount of tools",,I don’t track
2024-09-04 10:41:11,Kishore A,Cse,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera)",Smartphone,4-6 hours,Yes,"Increased engagement, Option ,Better time management",,Slight improvement,Less engaged,Yes,"Technical issues, Lack of interaction",,"Through app usage statistics, Self-tracking"
2024-09-04 10:41:33,Siva Chandran R,AI-ML,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,1-3 hours,Unsure,"Enhanced understanding of subjects, More efficient study habits",,,,Yes,"Technical issues, Lack of interaction",,I don’t track
2024-09-04 10:41:53,Malar Mariam S ,Artificial Intelligence and Data Science ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,7-10 hours,Yes,Enhanced understanding of subjects,,Significant improvement,More Engaged,Sometimes,"Technical issues, Distractions, Difficulty in using tools",,Self-tracking
2024-09-04 10:41:59,Gokkul M,AIMl,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Smartphone,1-3 hours,Yes,Enhanced understanding of subjects,"Sololearn , w3c school,geeks for geek",Slight improvement,More Engaged,Yes,Lack of interaction,Some sort of practical application working ,I don’t track
2024-09-04 10:42:11,Koti Sai Sankar ,AIML,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Zoom,Significant improvement,More Engaged,Sometimes,None,None,I don’t track
2024-09-04 10:42:18,Athmaj Venugopal ,AIML,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,7-10 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Zoom,Slight improvement,Equally engaged,Yes,"Technical issues, Lack of interaction, Distractions, Overwhelming amount of tools, Difficulty in using tools",None,Self-tracking
2024-09-04 10:44:09,KAMALESH SV,AiML,"Learning Management System (e.g., Moodle, Google Classroom), E-books, Online Tutorials",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Chat GPT,Slight improvement,Less engaged,Sometimes,Distractions,Lms,I don’t track
2024-09-04 10:45:03,VELAN D,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,More than 20 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits","unreal engine , figma",Significant improvement,More Engaged,Yes,"Overwhelming amount of tools, Difficulty in using tools","Better tools for managing assets and resources within large projects, including AI-driven suggestions for optimization and organization and made them as convenient to use for the users",Through app usage statistics
2024-09-04 10:47:21,NITHISH,Artificial intelligence and data science ,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,7-10 hours,Yes,Enhanced understanding of subjects,Online tutorials via youtube,Slight improvement,Less engaged,Sometimes,"Technical issues, Lack of interaction, Distractions",Personalised learning & user interface ,"Through app usage statistics, Self-tracking"
2024-09-04 10:48:01,KULASEKARAPANDIAN K,AIML,"Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, More efficient study habits","Live Classes, Video Conference, e-learning courses",Significant improvement,Equally engaged,Sometimes,None,Nill,Self-tracking
2024-09-04 10:48:02,Saravana,Ai-ds,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Unsure,"Option ,Better time management",Youtube,Slight improvement,Less engaged,Sometimes,"Technical issues, Lack of interaction, Distractions",Interaction and engagement for doubt clearance and to bring competition so that it could motivate,I don’t track
2024-09-04 12:09:25,Prabanjan J,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), E-books, Online Tutorials",Laptop,More than 20 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management, More efficient study habits",Youtube,Slight improvement,Less engaged,Yes,"Lack of interaction, Distractions, Overwhelming amount of tools",Personalized training,Self-tracking
2024-09-04 13:26:49,Keerthana,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Online Tutorials",Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management, More efficient study habits",,Slight improvement,Less engaged,Sometimes,"Lack of interaction, Distractions, Overwhelming amount of tools",,Self-tracking
2024-09-04 13:27:47,Agalya.J,Computer Science and engineering ,"Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books",Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, More efficient study habits",YouTube ,Slight improvement,Equally engaged,Yes,Technical issues,,Self-tracking
2024-09-04 16:48:04,Sabitha,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management","Youtube , Notion",Significant improvement,More Engaged,Yes,"Technical issues, Distractions",Free Availability ,Self-tracking
2024-09-04 16:49:35,Vikash.A.R ,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Online Tutorials",Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, More efficient study habits",Youtube,Slight improvement,Equally engaged,Sometimes,"Lack of interaction, Distractions",More interaction ,Self-tracking
2024-09-04 16:49:49,THIYAGA SRI CHARUMATHY ,ECE ,"Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,Less than 1 hour,Yes,Enhanced understanding of subjects,"Geeks of Geeks,W3schools",Slight improvement,Less engaged,Sometimes,Distractions,,Through app usage statistics
2024-09-04 16:50:59,Sowmithra R,ECE,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Increased engagement","google, youtube , chatgpt",Significant improvement,Equally engaged,Yes,Distractions,,Self-tracking
2024-09-04 16:52:04,Ann Blessy ,CSE ,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Educational app - Coursera ,Slight improvement,More Engaged,Yes,"Technical issues, Distractions",More better concept understanding in a interactive mode,I don’t track
2024-09-04 16:52:50,MITHUN M S,AIML,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,11-15 hours,Yes,Enhanced understanding of subjects,,Slight improvement,More Engaged,Yes,"Distractions, Overwhelming amount of tools, Difficulty in using tools",,I don’t track
2024-09-04 16:55:55,Sandhya ,Cse,"Learning Management System (e.g., Moodle, Google Classroom)",Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management",,,,,,,
2024-09-04 16:56:37,Reshma S,ECE,"Educational Apps (e.g., Khan Academy, Coursera)",Laptop,1-3 hours,Yes,Enhanced understanding of subjects,Coursera,Significant improvement,Equally engaged,Yes,"Technical issues, Distractions",Interesting concepts & better understanding,Self-tracking
2024-09-04 16:59:17,Yamunaasri ,AIML,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,More than 20 hours,Yes,Enhanced understanding of subjects,Notion and youtube ,Slight improvement,Less engaged,Yes,"Lack of interaction, Distractions, Overwhelming amount of tools",Easy to use apps,"Self-tracking, I don’t track"
2024-09-04 17:01:44,Janani.S,AI&DS,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,7-10 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Coursera,Significant improvement,Equally engaged,Yes,"Lack of interaction, Distractions",Obstacles happening coz of premium content should be minimized,"Through app usage statistics, Self-tracking"
2024-09-04 17:05:13,Vishnu P,ECE,Online Tutorials,Laptop,4-6 hours,Yes,More efficient study habits,YouTube & chatgpt,Slight improvement,Equally engaged,Sometimes,"Lack of interaction, Distractions",-,I don’t track
2024-09-04 17:21:08,Udaya Bharathi M,ECE,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Unsure,Increased engagement,Youtube,Slight improvement,Equally engaged,Sometimes,"Technical issues, Distractions",Once we login example to access any online class we must not able to get other notifications which may cause distractions.,Self-tracking
2024-09-04 17:23:29,Niraunjana Gayathri G R,AIDS,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,Less than 1 hour,Yes,"Enhanced understanding of subjects, Increased engagement","Coursera,Nptel,Bentley",Slight improvement,Equally engaged,Yes,Distractions,,"Through app usage statistics, Self-tracking"
2024-09-04 17:29:07,Priyanka A,AIDS,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,More than 20 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Online tutorials,Significant improvement,More Engaged,Yes,"Lack of interaction, Distractions",Interactive sessions,Self-tracking
2024-09-04 18:07:01,Lokeshwari D,Med elec,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera)",Laptop,Less than 1 hour,Yes,Enhanced understanding of subjects,,Slight improvement,Less engaged,Yes,"Lack of interaction, Distractions",,Instructor feedback
2024-09-04 19:45:36,Surendhar K,CSE,"Learning Management System (e.g., Moodle, Google Classroom)",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Online learning platform like coursera etc,Slight improvement,Less engaged,Yes,"Lack of interaction, Distractions",While using digital learning tools there should not be any notifications popping out that cause the distraction.,Through app usage statistics
2024-09-16 08:08:05,Jeslin Gnanasheela M ,CSE,Online Tutorials,Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement",,Slight improvement,Equally engaged,Sometimes,Technical issues,,Self-tracking
2024-09-16 08:09:09,PRASANNA R,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,11-15 hours,Yes,Enhanced understanding of subjects,"Moodle,Google classroom ",Significant improvement,Equally engaged,Yes,Technical issues,No,Through app usage statistics
2024-09-16 08:25:53,Dhivyadharshini S ,ECE,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Smartphone,1-3 hours,Yes,Enhanced understanding of subjects,Online tutorials,Slight improvement,Equally engaged,Sometimes,Technical issues,"Better audio/video quality 

",Self-tracking
2024-09-16 08:29:34,Thanuja.S ,MBBS,Online Tutorials,Smartphone,4-6 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Youtube...anatomy learning app,Slight improvement,Less engaged,Sometimes,Distractions,,I don’t track
2024-09-16 10:32:54,MOHAMED Zayeem,Cse,"Video Conferencing Tools (e.g., Zoom, Google Meet), E-books, Online Tutorials",Smartphone,4-6 hours,Unsure,More efficient study habits,,Significant improvement,Equally engaged,Yes,"Technical issues, Lack of interaction",Live question sessions ,Instructor feedback
2024-09-16 10:37:27,Sujitha B,ECE,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,4-6 hours,Unsure,"Option ,Better time management, More efficient study habits",May be some apps,Slight improvement,Equally engaged,No,"Technical issues, Lack of interaction, Distractions, Overwhelming amount of tools",Activity based,Self-tracking
2024-09-16 10:47:44,MUMMADI VENKATA BHANU PRAKASH REDDY,ECE,"Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Smartphone,1-3 hours,Yes,Increased engagement,,Significant improvement,More Engaged,Yes,Technical issues,,Through app usage statistics
2024-09-16 10:48:52,Arunkumar.T ,Computer science and engineering ,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",,,More Engaged,Yes,"Lack of interaction, Distractions",,"Through app usage statistics, Self-tracking"
2024-09-16 11:52:30,Sridharan j,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Online Tutorials",Laptop,11-15 hours,Unsure,"Enhanced understanding of subjects, Option ,Better time management",,Slight improvement,More Engaged,Yes,"Technical issues, Distractions",,Self-tracking
2024-09-16 12:01:57,V.Kasivishvanath,Cse,"Learning Management System (e.g., Moodle, Google Classroom)",Laptop,1-3 hours,Unsure,"Option ,Better time management",Grammarly,No change,Equally engaged,Sometimes,None,Nil,Through app usage statistics
2024-09-16 13:52:35,Subalakshmi V ,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Online Tutorials",Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, More efficient study habits",,Significant improvement,Equally engaged,Yes,"Technical issues, Lack of interaction, Distractions",,Self-tracking
2024-09-16 14:05:13,Hemadharshini M,CSE,"Learning Management System (e.g., Moodle, Google Classroom), E-books",Laptop,11-15 hours,Unsure,More efficient study habits,Moodle,No change,Less engaged,Sometimes,"Lack of interaction, Distractions",,Self-tracking
2024-09-16 16:57:57,Saroja ,MBBS ,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,Less than 1 hour,Yes,"Enhanced understanding of subjects, More efficient study habits",Google ,Slight improvement,Less engaged,Sometimes,Distractions,Clear and more explanation ,Self-tracking
2024-09-16 20:21:22,Marvin,It,"Educational Apps (e.g., Khan Academy, Coursera)",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement",Leetcode and sololearn,Slight improvement,Equally engaged,Yes,"Distractions, Overwhelming amount of tools, Difficulty in using tools",Noclue,"Through app usage statistics, Self-tracking"
2024-09-16 21:56:40,Dhareene R K ,CSE,Online Tutorials,Laptop,4-6 hours,Yes,Enhanced understanding of subjects,"Chat gpt, YouTube, gemini, microsoft copliet, Google ",Significant improvement,Equally engaged,Sometimes,Distractions,To be more easy accessable and more understanding concepts ,Self-tracking
2024-09-16 23:00:59,Giridharan ,ECE,"E-books, Online Tutorials",Tablet,4-6 hours,Yes,"Enhanced understanding of subjects, Increased engagement",,Slight improvement,More Engaged,Yes,Distractions,,Self-tracking
2024-09-16 23:08:18,Pooja Shree ,ECE ,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,More than 20 hours,Unsure,"Option ,Better time management",Smartphone,No change,Equally engaged,No,Lack of interaction,More communicable ,Self-tracking
2024-09-17 06:49:13,Sanjay Ragavendar ,CSE(CS),"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), E-books",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement",Taking notes,Slight improvement,Equally engaged,Yes,"Technical issues, Distractions, Overwhelming amount of tools",Nil current features are great,I don’t track
2024-09-17 07:43:24,Raanesh U,EIE,"Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement",Cour3,,,,,"Coursera,Freecodecamp",Self-tracking
2024-09-17 08:41:15,Roobesh Rao E D ,CSE,Online Tutorials,Laptop,1-3 hours,Yes,Enhanced understanding of subjects,You Tube ,Significant improvement,Equally engaged,Sometimes,"Technical issues, Lack of interaction, Distractions",Have no idea,"Self-tracking, I don’t track"
2024-09-17 09:25:21,K,Computer Science,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,More than 20 hours,Unsure,Enhanced understanding of subjects,,,Less engaged,Yes,"Lack of interaction, Distractions",,Self-tracking
2024-09-17 10:04:41,Hemalatha S ,Eie,"E-books, Online Tutorials",Laptop,4-6 hours,Unsure,"Option ,Better time management",,Slight improvement,Less engaged,Sometimes,"Lack of interaction, Distractions",,Self-tracking
2024-09-17 10:10:51,Ashwini.K,Medical Electronics ,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",,Slight improvement,More Engaged,Sometimes,,,Self-tracking
2024-09-17 10:10:56,Vanisha Ramesh,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,7-10 hours,Yes,Enhanced understanding of subjects,Youtube,Slight improvement,Equally engaged,Sometimes,"Lack of interaction, Distractions",,"Through app usage statistics, Self-tracking"
2024-09-17 11:05:18,Poushmita Paul,ECE,Online Tutorials,Laptop,7-10 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits","youtube, chatgpt",Significant improvement,More Engaged,Yes,"Overwhelming amount of tools, Difficulty in using tools",more user-friendly ,"Through app usage statistics, Self-tracking"
2024-09-17 11:15:01,K.K.Kaaviyanjalee ,EEE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet)",Desktop,4-6 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Youtube videos ,Slight improvement,Equally engaged,Sometimes,"Technical issues, Distractions",Not idea,I don’t track
2024-09-17 13:53:23,Mukilan ,ECE,Online Tutorials,Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, More efficient study habits",YouTube ,Slight improvement,More Engaged,Yes,"Technical issues, Distractions, Difficulty in using tools",Proper internet connection ,Self-tracking
2024-09-17 14:01:58,Ajay Joshua M ,Mechanical ,"Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Smartphone,7-10 hours,Yes,"Increased engagement, More efficient study habits",Chat gpt .,Slight improvement,Equally engaged,Yes,"Lack of interaction, Distractions, Overwhelming amount of tools",Accountability from the platform . ,Self-tracking
2024-09-17 16:04:11,Ayush,Electrical,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,7-10 hours,Unsure,"Enhanced understanding of subjects, Increased engagement",,No change,Less engaged,Sometimes,Distractions,Lots of distractions when using digital tools for study. You are one click away to a short/video and time flies after that.,"Self-tracking, I don’t track"
2024-09-17 22:48:42,PULLURU VANDANA ,ECE,"Video Conferencing Tools (e.g., Zoom, Google Meet)",Laptop,4-6 hours,Yes,"Option ,Better time management","Digital tools and apps can significantly support a productive study routine. They help organize, plan, take notes, manage information, and provide study aids and resources.",Significant improvement,Equally engaged,Yes,Overwhelming amount of tools,Yes ,Self-tracking
